column,n,nonpositive_removed,k_used,k_pickands_used,threshold,exceedances,observed_max,hill_xi,pickands_xi,gpd_xi,gpd_beta,pwm_xi,pwm_beta,lmoment_xi,lmoment_beta,endpoint,gap
Phi_Dist_1,61888,0,6189,6189,0.7465403084000001,6189,0.927056809,0.040267645143168856,-0.42653219018303123,-0.12449279109328786,0.03500623272141516,-0.14726960053566432,0.035736701323279337,-0.14726960053566404,0.03573670132327932,1.0277311501667612,0.10067434116676122
Phi_Dist_2,61888,0,6189,6189,0.6893265716,6189,0.897899281,0.048067844669579377,-0.35559583623537044,-0.1308510407045163,0.03910277793085698,-0.12433417657097524,0.03887336709181386,-0.12433417657097567,0.038873367091813875,0.988160862258472,0.09026158125847195
Phi_Dist_3,61888,0,6189,6189,0.21864027200000002,6189,0.332248517,0.082576828890124,-0.19209120202033914,-0.1131286817742583,0.02161390609017196,-0.12053581856884493,0.021760666583175905,-0.120535818568845,0.021760666583175905,0.4096962071632971,0.07744769016329706
Phi_Dist_4,61888,0,6189,6189,0.5974934687,6189,0.738557917,0.04369930688798001,-0.4762231643080857,-0.1931048760828152,0.032337827647262014,-0.18712388237172223,0.0321724833993323,-0.1871238823717224,0.032172483399332305,0.7649559807983147,0.026398063798314775
Phi_Dist_5,61888,0,6189,6189,0.5502600586,6189,0.656657975,0.03243805827405764,-0.6317526421611821,-0.14511763184017518,0.02098272410910218,-0.2000675898634412,0.02202549746104682,-0.20006758986344123,0.02202549746104682,0.6948512005792975,0.038193225579297496
Phi_Dist_6,61888,0,6189,6189,0.4847765865,6189,0.596807991,0.03339703217494761,-0.7015999776183397,-0.12623444001241318,0.018744728525421524,-0.17539123387079003,0.019592515269328883,-0.17539123387078964,0.019592515269328876,0.6332679849137631,0.03645999391376309
Phi_Dist_7,61888,0,6189,6189,0.7242404862999999,6189,0.862364499,0.027752183716037493,-0.6621787522094188,-0.15440643532079526,0.023688106313715266,-0.21145427908467837,0.024933542759442057,-0.21145427908467862,0.024933542759442064,0.8776544697554225,0.015289970755422488
Phi_Dist_8,61888,0,6189,6189,1.0973352378,6189,1.292360696,0.028373211874733996,-0.6011778599216265,-0.1309062768267531,0.03607266655529413,-0.14771683007411443,0.03663539335889374,-0.14771683007411446,0.03663539335889374,1.3728962531288085,0.08053555712880844
Phi_Dist_9,61888,0,6189,6189,0.8915751981000001,6189,1.105389755,0.03995489129530394,-0.4183504166239228,-0.12649230759042884,0.04154761944816078,-0.14185170421059015,0.04213496090609262,-0.14185170421058974,0.0421349609060926,1.220034851019673,0.11464509601967299
Phi_Dist_10,61888,0,6189,6189,0.7292147377,6189,0.975500401,0.039117235483427854,-0.46496145962564656,0.00995815102933993,0.02935687403112342,-0.01378522217531072,0.030059923093071622,-0.013785222175311198,0.030059923093071636,inf,inf
Phi_Dist_11,61888,0,6189,6189,0.5418267219,6189,0.651247515,0.03577439213422287,-0.4898539018772506,-0.12964394855874373,0.02261432146331231,-0.12169779313767388,0.022445960992586205,-0.12169779313767343,0.022445960992586195,0.7162607908613091,0.06501327586130912
Phi_Dist_12,61888,0,6189,6189,1.089310686,6189,1.297394903,0.030738319729365707,-0.4620856217024844,-0.10618952240828795,0.03806655051380083,-0.13318319377098164,0.03900424438186328,-0.13318319377098212,0.03900424438186329,1.4477881482814368,0.15039324528143672
Phi_Dist_13,61888,0,6189,6189,0.4650552544,6189,0.60295354,0.05316290155475469,-0.326676822498047,-0.13902287100923078,0.02951860326547173,-0.13121241795809857,0.029307608730847735,-0.13121241795809865,0.02930760873084774,0.6773843701144335,0.07443083011443352
Phi_Dist_14,61888,0,6189,6189,0.6149062863,6189,0.746246055,0.030404580362155664,-0.6935141622954624,-0.11424688428525936,0.021382675557129933,-0.15630386186013204,0.022209178961417962,-0.15630386186013243,0.02220917896141797,0.8020682880552533,0.055822233055253356
Phi_Dist_15,61888,0,6189,6189,0.5776785326,6189,0.720083527,0.042073183108525494,-0.48675719757193364,-0.11159634843610589,0.028052968461557172,-0.12373719261173424,0.028359669994386324,-0.12373719261173494,0.02835966999438634,0.8290574428841372,0.10897391588413718
Phi_Dist_16,61888,0,6189,6189,0.5185731506,6189,0.62988151,0.03455766168082773,-0.6268574428080014,-0.156932223055392,0.021363007634151932,-0.15123215088537215,0.0212608902361076,-0.15123215088537184,0.021260890236107593,0.6547020297952656,0.02482051979526556
Phi_Dist_17,61888,0,6189,6189,0.6041115814000001,6189,0.78891458,0.052511066258595786,-0.3869909307570953,-0.1400968218508335,0.03787100464150536,-0.13861357288482506,0.03781924600808853,-0.13861357288482515,0.03781924600808854,0.8744318080917097,0.0855172280917097
Phi_Dist_18,61888,0,6189,6189,0.7037824372,6189,0.983661239,0.05662636599074551,-0.30176187765568363,-0.09820914554754612,0.046065338332906214,-0.08816445598444525,0.045641172922480995,-0.0881644559844457,0.04564117292248101,1.1728358850848972,0.1891746460848972
Phi_Dist_19,61888,0,6189,6189,0.6170950414,6189,0.778389351,0.04410745257664469,-0.3327313509112497,-0.1317233125519272,0.0320033162028604,-0.16286609324563456,0.03290096144462049,-0.1628660932456345,0.03290096144462049,0.8600536763056037,0.08166432530560375
Phi_Dist_20,61888,0,6189,6189,0.3229694179,6189,0.456713238,0.06462103506331844,-0.3291497909196376,-0.07951050123857197,0.02389769598951387,-0.09274464168174182,0.024189486089565337,-0.09274464168174154,0.024189486089565327,0.6235296661344895,0.16681642813448944
Phi_Dist_21,61888,0,6189,6189,0.6862370280000001,6189,0.939429485,0.04934143180776028,-0.37695000927331695,-0.024017801099024162,0.036364101446180526,0.006434979857183192,0.03528070077579366,0.006434979857183511,0.03528070077579364,2.200284933395386,1.2608554483953858
Phi_Dist_22,61888,0,6189,6189,0.9270550563,6189,1.218517627,0.04992559184999003,-0.4107690327711179,-0.06929936103222009,0.05186826819762674,-0.04013081578816994,0.05043486986765805,-0.040130815788170474,0.050434869867658084,1.675521815950368,0.457004188950368
Phi_Dist_23,61888,0,6189,6189,0.5649878896,6189,0.70410207,0.04300594790824939,-0.5050127344207165,-0.1318702193396607,0.028596046972111572,-0.11772472330388177,0.02821940769475219,-0.11772472330388196,0.0282194076947522,0.7818378130725331,0.07773574307253306
Phi_Dist_24,61888,0,6189,6189,0.7462922798,6189,0.981645496,0.048289617837463814,-0.4129566497054255,-0.07760426161130514,0.040589439745438674,-0.09165007244697483,0.04112129297169882,-0.09165007244697486,0.04112129297169882,1.26932334668571,0.28767785068570995
Phi_Dist_25,61888,0,6189,6189,0.4798917767,6189,0.63388207,0.045679647089714975,-0.3765986074953131,-0.1246808685409767,0.025621524052639483,-0.15934293862826387,0.026449345144231622,-0.1593429386282638,0.026449345144231622,0.685388613163077,0.05150654316307701
Phi_Dist_26,61888,0,6189,6189,0.5967556478,6189,0.722044071,0.03282700309990391,-0.511352914684772,-0.14291631074948669,0.023020940566881823,-0.16360824460367174,0.02345546459783084,-0.1636082446036714,0.023455464597830832,0.7578355164738736,0.035791445473873584
Phi_Dist_27,61888,0,6189,6189,0.6162588697,6189,0.73785682,0.03275553357551098,-0.5969263953355154,-0.11790441683524604,0.02322916631595924,-0.13895298813351248,0.023672036668347933,-0.13895298813351256,0.023672036668347933,0.8132758003584889,0.07541898035848893
Phi_Dist_28,61888,0,6189,6189,0.4124240798,6189,0.572988621,0.06278997379461955,-0.35018000370209695,-0.1607099291123011,0.03172588714910943,-0.15796799878050394,0.031659129345219576,-0.15796799878050446,0.0316591293452196,0.6098349512026,0.036846330202599975
Phi_Dist_29,61888,0,6189,6189,0.5665270895000001,6189,0.751170333,0.05183367126107274,-0.4119109717013047,-0.0995823338741362,0.03384919371617581,-0.09571938893816763,0.03372039439175686,-0.09571938893816713,0.03372039439175684,0.906438722410295,0.15526838941029497
Phi_Dist_30,61888,0,6189,6189,0.4035085641,6189,0.528903059,0.04635861562768298,-0.5194482843552642,-0.09986801055530634,0.021430617100523613,-0.13701143371240057,0.02216803291200374,-0.13701143371240063,0.02216803291200374,0.6180979704710767,0.08919491147107672
Phi_Dist_31,61888,0,6189,6189,0.7651633405,6189,0.96307949,0.049406370572557944,-0.2851745618403422,-0.1611629852263739,0.04588399957809934,-0.13670937971674893,0.04487104235401332,-0.13670937971674857,0.044871042354013305,1.0498689105392334,0.08678942053923333
Phi_Dist_32,61888,0,6189,6189,0.5009419517,6189,0.6141564,0.042429515693820447,-0.36579550029058416,-0.18507425401756095,0.026113356125529653,-0.20153301003298738,0.026480504765479213,-0.20153301003298782,0.02648050476547922,0.6420385956613576,0.027882195661357523
Phi_Dist_33,61888,0,6189,6189,0.6531605722,6189,0.9354237,0.05942545528951882,-0.3065217899281731,-0.05167067162317532,0.043166331562228315,-0.030377327044065896,0.042285751985890435,-0.030377327044066326,0.04228575198589045,1.4885732000255567,0.5531495000255567
Phi_Dist_34,61888,0,6189,6189,0.40112221610000004,6189,0.515676547,0.04808267756542503,-0.37700462636283866,-0.1827543625359701,0.023738771771412516,-0.18187903109535197,0.023746528863075586,-0.18187903109535236,0.023746528863075596,0.5310166352646326,0.015340088264632623
Phi_Dist_35,61888,0,6189,6189,0.44469921390000006,6189,0.587839482,0.046918424311047986,-0.5418848626105993,0.025192505479454882,0.02131599682712996,0.028768491358213667,0.02123697063369633,0.028768491358214125,0.02123697063369632,inf,inf
Phi_Dist_36,61888,0,6189,6189,0.8929358194,6189,1.155694324,0.030855354203936085,-0.6812638502889867,0.08829739419821962,0.025975133163997875,0.09167182661388693,0.025868332333574242,0.09167182661388695,0.025868332333574242,inf,inf
Phi_Dist_37,61888,0,6189,6189,0.7591862714,6189,0.880849802,0.026775821168422774,-0.5789109442582228,-0.17865291225340726,0.024446852690432633,-0.22459992617932228,0.02546236626881332,-0.2245999261793222,0.025462366268813312,0.8960262052251838,0.015176403225183877
Phi_Dist_38,61888,0,6189,6189,0.43147547270000003,6189,0.537147169,0.037164886702175756,-0.6687701970576058,-0.0978261814647998,0.018214162035479063,-0.08657720693480697,0.01802401368820418,-0.0865772069348073,0.018024013688204183,0.6176645047438701,0.0805173357438701
Phi_Dist_39,61888,0,6189,6189,0.2191001481,6189,0.303276257,0.0694448468625833,-0.08971764404150379,-0.18428146195086503,0.01905421980341121,-0.23205787645707424,0.019867627142375232,-0.2320578764570747,0.01986762714237524,0.3224975251432299,0.019221268143229886
Phi_Dist_40,61888,0,6189,6189,0.781615858,6189,0.95662206,0.033953650606901385,-0.5729375280407123,-0.1129302851687253,0.03043201349937289,-0.1319979764753686,0.030960497159564043,-0.1319979764753686,0.030960497159564043,1.0510919640233352,0.0944699040233351
Phi_Dist_41,61888,0,6189,6189,0.4413315087,6189,0.575773683,0.05118201463013442,-0.32691390483713395,-0.15058494451731413,0.027131023237422704,-0.1853637845224965,0.02798305427905633,-0.18536378452249727,0.02798305427905635,0.6215023971270512,0.04572871412705126
Phi_Dist_42,61888,0,6189,6189,0.6185643257,6189,0.789778337,0.04402040750066637,-0.43530478360873165,-0.0867307833544015,0.030810701224818306,-0.08276380785824161,0.03069400232409941,-0.08276380785824161,0.03069400232409941,0.97380960348008,0.18403126648008006
Phi_Dist_43,61888,0,6189,6189,0.5299603412,6189,0.639308101,0.040273987894734985,-0.5030959528005103,-0.17607545447386908,0.0260125416971545,-0.17094883647982081,0.02587734629132328,-0.17094883647982148,0.025877346291323294,0.6776955367437659,0.03838743574376591
Phi_Dist_44,61888,0,6189,6189,0.6722149423,6189,0.771000789,0.026609789017308514,-0.6296935916305852,-0.17552507110875615,0.021488840875027553,-0.20297853610475447,0.022014357431492312,-0.20297853610475453,0.022014357431492312,0.7946409908370375,0.023640201837037522
Phi_Dist_45,61888,0,6189,6189,0.7091055910999999,6189,0.959502429,0.04643714186594245,-0.30738701167058907,-0.06656484223694228,0.03662769094391931,-0.13137057846023323,0.038868700415099884,-0.13137057846023312,0.03886870041509988,1.2593613975141493,0.2998589685141493
Phi_Dist_46,61888,0,6189,6189,0.640599028,6189,0.747482645,0.027552748819142044,-0.48261636610106096,-0.16833042485814598,0.021061923546055905,-0.2192170791525358,0.022029931686540397,-0.2192170791525359,0.022029931686540397,0.7657215277727241,0.01823888277272412
Phi_Dist_47,61888,0,6189,6189,1.0334163024,6189,1.291438846,0.038963562617093495,-0.36483616848831213,-0.057186193486616556,0.04414855540223772,-0.06307139715767086,0.04439369875940907,-0.06307139715767054,0.044393698759409066,1.805430537139543,0.513991691139543
Phi_Dist_48,61888,0,6189,6189,0.5957094700000001,6189,0.793740647,0.04357605912058888,-0.5210010425234678,-0.019674633701056106,0.02760194164358733,-0.020441011470649924,0.02762358232955494,-0.020441011470650243,0.027623582329554943,1.9986297003322018,1.2048890533322019
Phi_Dist_49,61888,0,6189,6189,0.7456384624,6189,1.005118844,0.05072442412234447,-0.3476081466567957,-0.0928022055371113,0.0432991229425987,-0.07416441872995815,0.04254804429904362,-0.07416441872995815,0.04254804429904362,1.2122127500690956,0.2070939060690955
Phi_Dist_50,61888,0,6189,6189,0.5397471296,6189,0.674865191,0.037342130822081786,-0.568391174950695,-0.1263532728795416,0.023442812218550657,-0.1621776115378277,0.024206279078883775,-0.1621776115378281,0.024206279078883786,0.725281003668302,0.050415812668301974
